0.03,1611526,54381
0.04,1770839,67098
0.02,1662146,30092
0.02,1537980,30096
0.03,1833386,46909
0.03,1844018,54702
0.02,2059988,44735
0.02,1579030,39270
0.03,1543934,43324
0.05,1641179,81639
0.02,1544005,32082
0.02,1584587,28864
0.02,1525410,35121
0.03,1491032,41875
0.02,1426473,34042
0.03,1823914,51011
0.02,1626953,29674
0.04,1716234,62682
0.03,1522266,50482
0.02,1546305,33095
0.02,1599005,30417
0.02,1479098,34629
0.02,1493213,33883
0.03,1598179,40255
0.02,1486428,31341
0.04,1394358,58272
0.03,1449663,41787
0.03,1601593,54484
0.03,1694364,47793
0.02,728257,12954
0.03,732525,22848
0.02,775460,13650
0.02,855401,13564
0.03,847347,23263
0.02,809978,13489
0.02,880639,14246
0.03,825809,21716
0.02,737900,12950
0.04,828452,29372
0.00,553291,0
0.00,565161,0
0.02,879254,16075
0.00,706002,0
0.02,1023296,22031
0.00,703811,0
0.02,1118243,25120
0.00,688090,0
0.02,1064365,23106
0.02,963365,21919
0.00,738200,0
0.01,1074899,14262
0.02,705555,14760
0.00,392559,0
0.03,857168,25568
0.00,411837,0
0.03,679636,22232
0.02,735849,12799
0.01,882769,7553
0.02,896109,19415
0.02,766619,14015
0.01,949771,12431
0.02,761345,13794
0.03,726134,22341
0.02,703589,12988
0.00,402243,0
0.00,430953,0
0.02,796832,13357
0.02,669938,12916
0.02,720280,13184
0.02,782199,13453
0.02,922362,22819
0.02,759808,16160
0.00,465880,0
0.02,895548,14814
0.02,789266,13301
0.03,736021,23100
0.03,674613,21923
0.02,705048,13312
0.02,840803,13956
0.02,741741,15175
0.03,859068,22657
0.02,785317,14894
0.00,434346,0
0.02,776959,15736
0.00,389767,0
0.00,331811,0
0.02,869321,18047
0.02,574141,13570
0.03,772923,26532
0.02,702896,14587
0.02,627856,15291
0.03,762943,23601
0.00,402528,0
0.02,753270,13160
0.03,823475,22661
0.02,676709,14429
0.00,419155,0
0.02,735882,13221
0.02,888482,14441
